slug,id,sofascore_id
stefan-vladoiu,451603,844469
ionut-mitran,724575,1107014
alexandru-olteanu,565088,
vladimir-screciu,418219,840529
dan-nistor,156639,
alexandru-mateiu,64193,44443
mihai-capatina,292201,1085434
ovidiu-bic,220816,812807
antoni-ivanov,283287,871668
matteo-fedele,111438,65952
vasile-constantin,685203,940917
alexandru-cicaldau,295810,827540
stefan-baiaram,686232,988473
valentin-mihaila,535469,925242
andrei-ivan,271282,361164
reagy-ofosu,83253,103390
andrei-burlacu,415457,827685
marian-danciu,744076,1063274
cristian-barbut,262108,
alexandru-cimpanu,687846,
elvir-koljic,296695,360902
alexandru-tudorie,260139,279551
ivan-mamut,446996,843445
mihai-roman,135566,71393
atanas-trica,896370,1122818
giedrius-arlauskis,69001,42058
cristian-balgradean,158839,98575
grzegorz-sandomierski,55263,71809
otto-hindrich,744075,1031665
rares-murariu,319238,839778
ionut-rus,418208,928925
bogdan-checiches,912218,1093101
andrei-burca,289308,846999
kevin-boli,186593,157757
denis-ciobotariu,428593,836623
paulo-vinicius,45025,59559
syam-ben-youssef,133078,118144
mike-cestor,136744,104579
ivica-zunic,139943,108662
mario-camora,44698,78908
iasmin-latovlevici,47172,42263
cristian-manea,271284,361150
mateo-susic,83287,63766
mihai-butean,375712,796365
william-soares,80151,125020
ovidiu-hoban,81484,44364
mihai-bordeianu,210059,82889
runar-mar-sigurjonsson,90008,66530
damjan-djokovic,143039,
catalin-itu,464306,
luis-aurelio,236748,250349
adrian-gidea,847618,1095835
raul-haiduc,912175,
adrian-paun,291656,
valentin-costache,341391,818304
claudiu-petrila,623424,942091
ciprian-deac,43300,36883
alexandru-chipciu,64126,44435
michael-pereira,147483,114187
catalin-golofca,241234,844441
nicolae-carnat,341140,891460
andrei-joca,675540,996509
billel-omrani,131589,96546
gabriel-debeljuh,340073,848330
mario-rondon,119272,67884
jakub-vojtus,104990,829140
gheorghe-gondiu,635065,
valentin-cojocaru,200616,
catalin-cabuz,315442,911712
arpad-tordai,271294,790187
sabin-stanciulescu,724114,
alexandru-serban,547850,949578
virgil-ghita,340977,867544
sebastian-mladen,96790,95802
alin-dobrosavlevici,213589,
angel-martinez,66117,
gabriel-buta,724115,1139914
gabriel-danuleasa,666434,1083362
daniel-birzu,728519,1001892
bradley-de-nooijer,313741,831410
marquinhos-pedroso,218352,
radu-boboc,319202,888699
romario-benzar,164231,131342
tiberiu-capusa,340978,856555
razvan-gradinaru,289256,352318
damien-dussaut,205533,342919
darius-grosu,568557,982549
alex-georgescu,547855,960306
dan-sirbu,666463,1101229
marco-dulca,391445,920622
andrei-artean,241254,797718
luca-banu,869978,1152489
nicolas-popescu,608447,1130100
andrei-ciobanu,340980,852436
carlo-casap,340981,790188
jon-gaztanaga,66110,233410
david-babunski,133628,134235
constantin-grameni,568578,
josemi-castaneda,455080,866947
roberto-malaele,556209,913781
cosmin-matei,81421,44429
stefan-bodisteanu,608448,999025
razvan-tanasa,798248,1113023
alexandru-matan,368942,844158
victor-fernandez,415205,991551
ely-fernandes,292488,343671
adrian-stoian,96853,587608
alexi-pitu,547822,
razvan-matis,547785,957646
jo-santos,237058,252805
florian-haita,675514,
gabriel-iancu,164254,149648
kevin-luckassen,187290,
louis-munteanu,547786,960307
george-ganea,335821,811853
juvhel-tsoumou,42485,31613
aurelian-chitu,164236,115585
luca-andronache,666469,1047985
david-lazar,168278,131433
mihai-popa,623412,
mirel-bolboasa,64114,43796
daniel-graovac,131728,94815
constantin-dima,335820,831662
valerica-gaman,47576,43100
abdel-lamanje,130927,103507
hugo-sousa,187908,603956
igor-jovanovic,50366,74847
alexandru-dandea,213287,236800
catalin-ion,863162,913415
robert-riza,623411,1063275
david-bruno,126964,96846
momcilo-raspopovic,246836,138935
dinu-graur,309570,363102
marius-pahontu,791474,1035268
ljuban-crepulja,238474,89346
dario-canadjija,193998,161671
yann-boe-kane,127051,251019
takayuki-seto,97562,844531
alexandru-duminica,623423,1122523
paulian-banu,700767,
constantin-budescu,164233,89230
sebastien-wuthrich,52744,26326
romario-moise,390844,798297
alexandru-ionita,209664,235434
gabriel-serban,623422,942176
valentin-gheorghe,453810,845365
mihai-radut,96850,69322
silviu-balaure,296585,279607
dragos-gheorghe,728142,942178
albert-stahl,478022,849332
george-merloi,530697,
ionut-zaharia,814974,1497715
adeshina-fatai,896799,1122531
denis-alibec,81396,44417
mattia-montini,130368,815366
sulejman-krpic,109047,94992
shlomi-azulay,136997,
kehinde-fatai,73951,44423
raoul-baicu,605947,942239
mihai-esanu,436072,941756
tomas-mejias,62947,87370
gudmund-kongshavn,122337,67577
rene-roman,64350,
denis-oncescu,887379,1116079
aleksander-mitrovic,608470,1047649
abdoulaye-ba,106837,798948
ricardo-grigore,436078,887856
ante-puljic,47459,51268
raul-albentosa,77026,118781
mihai-popescu,361537,798298
florin-bejan,147993,99430
marco-ehmann,336310,929021
isma-lopez,54231,139921
steliano-filip,181501,149651
andrei-radu,243293,279555
andrei-sin,213777,
costin-amzar,672896,1131358
alexander-gonzalez,147562,108152
radu-zamfir,540849,1155690
alexandru-rauta,209117,810241
janusz-gol,80941,44796
vlad-achim,69402,66437
aleix-garcia,261504,796047
paul-anton,123286,73699
geani-cretu,540920,966906
ionut-serban,217891,190293
claudiu-stan,540892,1098255
andrei-bani,491956,
ioan-borcea,608464,1031087
diego-fabbrini,56903,76081
jonathan-morsay,298313,
gevaro-nepomuceno,139198,150156
andrei-blejdea,313631,279573
antonio-bordusanu,863556,1104891
deian-sorescu,379209,797602
andreas-mihaiu,436080,
catalin-magureanu,491962,976157
borja-valle,176067,146217
daniel-popa,341364,
adam-nemec,55210,27531
mihai-neicutescu,436079,937451
magaye-gueye,91956,51417
robert-moldoveanu,319235,797678
joseph-akpala,38000,37603
giani-stere,621679,951988
eduard-pap,249080,283213
hidajet-hankic,156680,256169
mario-contra,331578,840526
andrei-chindris,435731,864096
alin-seroni,243846,301508
florin-plamada,241574,110201
adrian-moescu,706943,993853
bogdan-racovitan,804134,1048102
marian-lutu,881068,
alexandru-tiganasu,177661,946331
marcel-holzmann,54847,39013
christopher-braun,82657,163733
andrei-patache,64216,
bryan-mendoza,690820,1001795
ulrich-meleke,581447,933448
jonathan-rodriguez,537768,888035
enriko-papa,241221,888276
bautista-cascini,423439,830669
malcom-edjouma,468704,
david-croitoru,791176,1033116
marian-tarsa,412738,827227
hervin-ongenda,182910,191174
eduard-florescu,379194,812798
realdo-fili,270019,841976
andrei-tircoveanu,271293,361156
alessio-carlone,258816,830332
hamidou-keyta,419293,829610
stefan-ashkovski,134458,
youssef-toutouh,164658,
mahmoud-al-mawas,380348,823288
mihai-roman,64229,1823958
alexandru-caia,797953,
bogdan-melinte,830290,1085209
marko-dugandzic,225961,235642
sekou-camara,486537,898124
minas-chalkiadakis,460332,790764
roland-niczuly,337619,887568
jesus-fernandez,91885,47827
bela-fejer,315257,306388
albert-szanto,860351,1094009
rachid-bouhenna,194790,933002
bogdan-mitrea,208866,196888
branislav-ninaj,260979,193328
razvan-tincu,48685,66118
florin-stefan,320637,887741
andres-dumitrescu,547812,1000581
panagiotis-deligiannidis,234733,790533
radoslav-dimitrov,134163,62170
balazs-csiszer,639141,1009356
gabriel-vasvari,177660,82970
boubacar-fofana,130964,144066
eder-gonzalez,456523,849579
nicolae-paun,860352,1068626
lorant-kovacs,272527,317917
aleksa-markovic,636241,1091748
adnan-aganovic,50806,
bryan-nouvier,344889,814560
lorand-fulop,448674,845279
vlad-mitrea,484029,1049468
peter-gal-andrezly,90872,121796
ronaldo-deaconu,271281,845883
anass-achahbar,182554,138832
istvan-fulop,242113,297310
florin-purece,203059,87940
george-dragomir,749036,1068593
marius-stefanescu,685795,
nandor-tamas,535468,
pavol-safranko,366937,801701
admir-bajrovic,222556,227774
andrei-dumiter,466722,994193
simone-rapp,154635,
victor-rimniceanu,213699,
marcos-lavin,282409,858769
mihai-cotolan,436073,944755
valentin-neacsu,836000,1467194
daniel-paraschiv,1014234,
cosmin-achim,312471,798229
igor-armas,64667,36946
ionut-balaur,64103,69359
gabriel-tamas,6893,10794
mourad-satli,123921,77757
nicolae-cotolan,599695,950400
george-buliga,649787,955723
roberto-mihai,649788,
oktay-ozkara,809504,954635
alexandru-chilili,575217,1049739
alexandru-vlad,204040,99416
milan-kocic,274828,335991
cristian-costin,397485,814806
ricardinho,337537,770243
gregoire-puel,156487,123221
daniel-mitrache,669628,
lukas-droppa,81959,58296
pablo-de-lucas,57851,40996
helder-tavares,134608,343909
alexandru-ilie,588433,1165416
iulian-badea,847267,1092430
claudiu-bortoneanu,474520,
roberto-tatu,1014235,
robert-tangulea,1014233,1092982
ion-gheorghe,436075,
eric,81509,
martin-remacle,309847,827574
vasile-mihai,349089,797711
cezar-trandafirescu,436083,892378
ivan-pesic,115133,157338
sebastian-mailat,364697,822240
marcelo-lopes,279355,947451
anderson,700073,
adrian-popa,104062,87904
adrian-dorobantu,710094,1092437
jefte-betancor,198015,174105
viktor-angelov,134457,91646
alexandru-ionut-stoica,568537,
haruna-garba,331723,926532
adelin-voinescu,805627,1049740
octavian-valceanu,252192,
andrei-ureche,394535,944668
aurelian-paun,675499,1122204
vasile-soare,912197,
florin-gardos,57423,
mladen-jutric,197052,573968
amir-bilali,226181,283107
razvan-patriche,64218,83649
vlad-motroc,540846,947185
mihai-dobrescu,236127,247437
paul-pirvulescu,81494,990938
georgi-pashov,87297,76941
florin-achim,212679,93832
andrei-susu,777431,1022425
asen-chandarov,335740,843023
denis-ventura,231722,242603
bogdan-ilie,686311,
thibault-moulin,160567,128891
eugeniu-cebotaru,48820,
lucian-dumitriu,287418,934795
marian-serban,535465,942241
florinel-sandu,804240,1471736
cristian-stefan,809703,1116489
ciprian-gliga,534441,1049656
cristian-tanase,46662,43782
andrei-cordea,435712,944628
petrisor-petrescu,241343,934793
aleksandru-longher,540921,905009
marius-ciobanu-vanghele,791473,1035243
raul-rusescu,81433,43774
tsvetelin-chunchukov,274666,336407
martin-toshev,69506,62023
alexandru-boiciuc,358734,993881
jovan-markovic,418235,867494
razvan-andronic,568539,951494
david-morar,828493,1086117
robert-jerdea,887373,1112607
cristiano-figueiredo,100127,
emanuel-novo,352934,798318
ionut-pop,21517,792313
valentin-margarit,670830,1092179
rares-agarbiceanu,960097,1170280
patricio-matricardi,283585,340405
ionut-stoica,241584,847828
ousmane-viera,69014,37011
adrian-scarlatache,46644,551210
paul-osan,828500,1155559
raul-oprut,393806,878671
sorin-busu,57679,44551
saeed-issah,610414,1100662
claudiu-belu,208716,231408
angel-bastos,337758,849542
alexandru-matel,48767,
alexandru-voda,528694,990262
bright-addae,128036,252893
romario-pires,148601,245617
soni-mustivar,85195,
baba-alhassan,626899,1085422
razvan-dalbea,123263,
lucian-buzan,540113,852371
aias-aosman,124673,
andrei-sintean,319229,822239
luca-florica,568573,
alexandru-oroian,614623,1035687
david-mayoral,355629,848081
billal-sebaihi,170498,
stanley-elbers,188905,1067003
calin-popescu,509936,882356
adrian-balan,223221,797707
yazalde,56014,46153
fabio-fortes,190920,
ante-aralica,340199,790516
drazen-bagaric,217136,227132
adrian-ster,395817,1092180
florin-iacob,186028,139179
horatiu-moldovan,525438,857065
dragos-balauru,175972,128896
haralambie-mociu,724572,1102520
erico,233917,814368
alexandru-benga,202800,98566
florin-ilie,192866,108422
cristian-melinte,63461,84532
simo-rumbullaku,234237,
sorin-bustea,213101,887722
evgeniy-shlyakov,145981,112340
andrei-peteleu,192870,97697
marius-tomozei,213243,100784
marian-pleasca,148206,96798
razvan-ivan,654067,
alexandru-albu,372908,794638
modestas-vorobjovas,262636,319751
catalin-vulturar,710079,1036263
nelut-rosu,241310,302564
damian-isac,641991,1035683
mihovil-klapan,252874,250037
roger,435169,
denis-rusu,805072,1092522
liviu-antal,123256,789144
david-miculescu,614800,905096
octavian-ursu,286549,346258
claudiu-negoescu,672898,
ioan-hora,54528,44460
vlad-morar,186031,150953
valentin-buhacianu,394464,
ciprian-rus,397474,812147
dragos-tescan,700772,1049440
albert-voinea,180871,143124
alexandru-ionita-i,113865,73662
stefan-bocancea,870015,
alexandru-buzbuchi,216660,
razvan-plesca,25940,44403
andrei-cristea,464239,851814
albert-popa,494593,1007974
ondrej-baco,431058,838195
yuri-matias,443612,864484
fernander-kassai,166559,753320
ionut-larie,46582,48051
razvan-popa,220851,227654
razvan-horj,422587,831775
ismael-kanda,707248,1131231
andrei-capra,805629,1104432
mihai-velisar,610483,942139
bogdan-jica,675045,974778
gabriel-moura,210088,
roberto-romeo,153206,133107
yael-tiendrebeogo,649458,1102848
bryan-alceus,354686,839640
francisco-junior,215840,231894
yves-simon-pambou,291746,380532
cristian-avram,666464,1031722
dragos-iancu,878792,1112623
sergiu-ciocan,687721,989149
razvan-trif,395799,
paul-costea,599465,942219
nicolao-cardoso,87052,
gabriel-plumbuitu,666433,1082755
nasser-chamed,234766,1410149
ze-manuel,113025,1191378
luis-nitu,575181,965940
moussa-sanoh,203928,227206
idrisa-sambu,290761,855671
ricardo-valente,292775,252665
tomas-smola,255413,317641
adama-sarr,170939,788913
rares-dogaru,790986,
sebastian-birsan,805628,1049741
mihai-mates,871992,
marian-aioani,426724,1006983
dinu-moldovan,129501,350164
rares-pop,435730,841677
paul-iacob,303359,790189
andrei-pitian,301258,366908
bourama-fomba,780352,1021271
adrian-ionita,476347,937472
cornel-dinu,212749,937449
florinel-mitrea,700771,1100281
alex-negrea,303318,
marius-martac,241296,302946
laurentiu-corbu,378746,797676
vadim-rata,136128,98082
liviu-mihai,74087,108912
cosmin-atanase,677160,937476
denis-dumitrascu,274671,810864
cristian-negut,430836,937446
andrei-serban,289290,788300
cristian-cherchez,212748,197122
blaise-yameogo,576738,932621
tomas-diaz,741999,
daniel-florea,46543,44410
valmir-berisha,226146,279545
catalin-barbu,476049,828112
mihai-costea,47572,44552
alexandru-greab,186027,218542
george-micle,723749,1034948
flavius-croitoru,209066,810239
grigore-turda,451328,
deian-boldor,239570,190299
luka-maric,190722,84394
mihai-leca,234286,211670
sylvain-deslandes,272621,798302
jimmy-de-jonghe,110671,139805
nicolae-musat,53196,44388
daniel-serbanica,529149,909032
costinel-tofan,394481,887563
david-meza-colli,54328,255709
sergio-marakis,188669,152163
andrei-panait,81426,810233
ionut-serban,212764,99424
alexander-maes,110796,
georgian-honciu,212754,
angelo-cocian,478052,1424894
andrei-prepelita,37933,69341
ionut-oprescu,1015504,
stephan-draghici,435706,856560
gabriel-deac,337737,797710
nini-popescu,287466,357918
alin-popa,209115,810243
andrei-mirica,710095,1034950
antun-palic,68205,50645
ionut-nastasie,148000,99432
robert-grecu,295824,823814
ruan-teles,520787,
andre-cozma,819795,1051380
mario-mitoi,885840,1121417
cephas-malele,22686,157397
vasile-buhaescu,48775,21596
mediop-ndiaye,515941,939554
laurentiu-branescu,156521,96334
ianos-brinza,556245,916391
teodor-axinte,470143,872678
levente-bosz,368548,190645
denis-ciofu,871494,1063242
alessandro-caparco,85260,44080
rares-barladeanu,1003479,
manuel-angiulli,263711,805628
nikolaos-baxevanos,465616,885144
cosmin-frasinescu,46546,44457
ovidiu-mihalache,97556,1834457
daniel-ciobanu,320734,1063240
dan-talmaciu,830935,1085088
ionut-rusu,582926,
cosmin-saizu,837198,1089002
bogdan-balint,813629,
victor-petrisor,1003476,
razvan-onea,536130,994004
rodny-lopes-cabral,245902,363786
lucian-dumea,836570,1834495
nicandro-breeveld,53222,
donaldo-acka,547052,1049629
juan-pablo-passaglia,128339,312032
manuel-de-iriondo,296805,789430
pablo-gaitan,296809,295333
rafael-acosta,57958,44619
andrei-agape,793471,
catalin-aeroaiei,394886,
andrei-moisa,856720,
antonio-stan,831083,
floriano-vanzo,201696,1063239
doru-popadiuc,279927,834157
dylan-flores,131250,796834
francisc-cristea,666408,1033696
alexandru-cristian-zaharia,824305,
andreias-calcan,244548,294629
platini,130930,129626
gai-assulin,38412,88117
deyver-vega,131267,158757
lucas-chacana,420408,830413
joseph-mensah,286000,542276
uros-djuranovic,387052,813111
dzenan-zajmovic,278769,342263
andrei-cristea,26491,13579
alexandru-iulian-zaharia,537786,
cican-stankovic,127679,125488
nico-mantl,349536,888592
carlos-coronel,378871,800150
alexander-walke,1271,5028
maximilian-wober,263361,794962
bernardo,364258,828571
jerome-onguene,272638,580750
andre-ramalho,175792,148155
oumar-solet,463665,892979
albert-vallci,261935,557878
david-affengruber,452483,988672
andreas-ulmer,31196,
rasmus-kristensen,369684,921789
amar-dedic,519184,1102791
patrick-farkas,81675,66329
mohamed-camara,543382,1008849
ousmane-diakite,402007,873627
dominik-szoboszlai,451276,
enock-mwepu,490307,881132
antoine-bernede,395512,837080
maurits-kjaergaard,610405,987818
nicolas-seiwald,404950,976575
majeed-ashimeru,360140,
zlatko-junuzovic,31007,5522
brenden-aaronson,393323,
luka-sucic,502722,949156
karim-adeyemi,496094,940054
masaya-okugawa,307052,794770
patson-daka,365172,
sekou-koita,402010,822710
mergim-berisha,307924,770083
noah-okafor,346890,865523
benjamin-sesko,627442,986397
junior-adamu,452477,
antonin-svoboda,552061,963800
richard-strebinger,93768,110924
paul-gartler,223957,355478
niklas-hedl,404881,918421
bernhard-unger,341761,840228
leo-greiml,434110,918420
mateo-barac,329629,576308
maximilian-hofmann,131231,190823
christopher-dibon,54607,36747
paul-gobara,353915,865548
mario-sonnleitner,18297,
maximilian-ullmann,239934,576078
filip-stojkovic,139751,98433
thorsten-schick,55574,66219
adrian-hajdari,388304,1008860
dejan-ljubicic,287188,
srdjan-grahovac,123158,73293
lion-schuster,391560,865553
dalibor-velimirovic,437891,994185
dejan-petrovic,320859,796014
christoph-knasmullner,59068,103030
marcel-ritzmaier,84162,72670
lukas-sulzbacher,375355,865555
philipp-schobesberger,190848,276005
thomas-murg,153190,149677
melih-ibrahimoglu,391555,998462
taxiarchis-fountas,192409,204562
dragoljub-savic,574656,980796
yusuf-demir,548031,962283
kelvin-arase,321048,825962
ercan-kara,320701,843039
koya-kitagawa,290705,793694
deni-alar,42004,23621
alexander-schlager,186374,282073
tobias-lawal,393686,990025
thomas-gebauer,12137,2382
thomas-turner,316729,940297
gernot-trauner,59145,121588
philipp-wiesinger,159139,336377
andres-andrade,403808,1676409
yevgen-cheberko,343153,844594
petar-filipovic,85922,94126
stefan-haudum,156681,244145
jan-boller,389079,1116211
christian-ramsebner,37820,16727
erwin-softic,449458,
rene-renner,212333,244141
reinhold-ranftl,83119,126858
james-holland,43158,31278
lukas-grgic,224871,576080
valentino-muller,307817,798206
fredy-valencia,655253,1068601
peter-michorl,158106,186691
mads-emil-madsen,422950,848034
marvin-potzmann,106869,95380
husein-balic,241803,355288
ibrahima-drame,649028,
andreas-gruber,194477,573988
thomas-goiginger,189912,164221
dominik-reiter,307667,857918
patrick-plojer,434111,985264
johannes-eggestein,251303,591588
marko-raguz,307664,843668
matias-succar,626179,927690
mamoudou-karamoko,646782,
metehan-altunbas,621603,957798
thomas-sabitzer,394032,
adam-griger,641676,1138503
jorg-siebenhandl,59009,90008
tobias-schutzenauer,243237,355480
luka-maric,432859,1006952
david-nemeth,451906,966889
gregory-wuthrich,203125,331465
niklas-geyrhofer,394008,1017135
paul-komposch,452461,1048206
simon-nelson,488070,962269
amadou-dante,649087,
vincent-trummer,365589,959596
jusuf-gazibegovic,393745,907530
sandro-ingolitsch,286627,792501
samuel-stuckler,404935,1022492
jon-gorenc-stankovic,245034,280565
ivan-ljubic,250028,799477
lukas-jager,120206,138124
tobias-koch,434103,936477
andreas-kuen,186798,186711
stefan-hierlander,59053,49021
philipp-huspek,59057,48519
sandro-schendl,527596,1048207
oliver-bacher,357748,1048208
sebastian-zettl,434106,1035244
otar-kiteishvili,352596,797994
christoph-lang,527589,1104216
kelvin-yeboah,589737,940262
jakob-jantscher,52269,26292
kevin-friesenbichler,106848,138135
bekim-balaj,99137,54483
dardan-shabanhaxhaj,452464,1017134
francisco-mwepu,632872,1064299
patrick-pentz,223972,788319
mirko-kos,307511,869699
ammar-helac,307598,886066
erik-palmer-brown,282199,540112
maudo-jarjue,450462,845816
johannes-handl,293084,874842
stephan-zwierschitz,81701,66289
christoph-schosswendter,68379,37393
michael-madl,20381,6946
christian-schoissengeyr,157242,
andreas-poulsen,345746,
markus-suttner,31514,6948
christoph-martschinko,120191,138139
georg-teigl,81698,67866
eric-martel,597000,988639
vesel-demaku,346846,865653
thomas-ebner,122781,137098
aleksandar-jukic,393699,918949
niels-hahn,404936,918409
matthias-braunoder,488052,962282
stefan-radulovic,527529,962284
dominik-fitz,354022,837084
alexander-grunwald,34763,24073
csaba-mester,497340,947386
patrick-wimmer,533295,987504
anouar-el-moukhantir,261495,788316
agim-zeka,342824,856542
can-keles,451642,918408
maximilian-sax,115072,109455
benedikt-pichler,331362,843709
manprit-sarkaria,288690,869709
christoph-monschein,300095,
marco-djuricin,92989,95138
alon-turgeman,177249,95417
bright-edomwonyi,229857,249423
muharem-huskovic,548235,1031615
manuel-kuttin,91410,165033
alexander-kofler,55569,78606
marko-soldo,270598,553618
david-skubl,443936,1049106
dominik-baumgartner,206906,282087
luka-lochoshvili,345189,827473
gustav-henriksson,368565,946840
tarik-muharemovic,679423,1118177
stefan-peric,223973,319181
nemanja-rnic,27236,18765
guram-giorbelidze,330277,564370
jonathan-scherzer,196782,237066
kai-stratznig,531217,1030988
michael-novak,77487,141119
mario-pavelic,106866,180953
adis-jasic,531214,1000186
fabian-tauchhammer,428462,918416
mario-leitgeb,52821,37448
matthaus-taferner,434104,901905
eliel-peretz,444018,837216
christopher-wernitznig,77117,141304
sven-sprangler,181714,310352
lukas-schofl,514440,912257
leo-vielgut,440904,1085369
michael-liendl,17057,
dejan-joveljic,336382,885663
dario-vizinger,391340,809025
thorsten-rocher,174856,146691
cheikhou-dieng,225536,231936
marc-andre-schmerbock,145010,164261
marcel-holzer,289053,
amar-hodzic,354088,894817
ferdinand-oswald,58360,
benjamin-ozegovic,319825,837082
simon-beccari,364558,869937
david-gugganig,223960,791091
raffael-behounek,321095,799723
stefan-hager,158179,186681
bruno-soares,104545,72130
david-schnegg,378260,926892
florian-buchacher,52773,126288
fabian-koch,59069,31957
julian-golles,339826,858869
nemanja-celic,353899,910518
thanos-petsos,82110,109367
johannes-naschberger,321874,920268
renny-smith,291895,
ignacio-jauregui,282469,340865
kilian-bauernfeind,524475,1033551
zan-rogelj,371861,888605
benjamin-pranter,58963,31958
florian-toplitsch,83584,125471
florian-rieder,317847,843891
stefan-lauf,604548,1050247
nikolai-baden-frederiksen,400550,935076
tobias-anselm,321847,904263
zlatko-dedic,28835,
felix-kerber,524490,
christoph-riegler,122899,121172
armin-gremsl,159758,121232
pirmin-strasser,77573,
david-pennerstorfer,432232,994195
kilian-kretschmer,443650,1020103
ahmet-muhamedbegovic,271323,
luan,349820,
manuel-maranda,287995,827461
lukas-tursch,206951,282091
michael-steinwender,375434,936268
daniel-drescher,49510,
kofi-schulz,192539,171647
martin-majnovics,394609,
michael-blauensteiner,195854,788321
michael-schimpelsberger,59185,95688
peter-pokorny,490595,942382
christoph-messerer,646845,982132
robert-ljubicic,353634,935308
brandon-servania,455979,920608
daniel-luxbacher,81710,126209
emilian-metu,580622,1068509
george-davies,273065,319977
christoph-halper,308086,977026
reza-asadi,408805,932194
daniel-schutz,52245,109459
dor-hugi,293602,357790
samuel-tetteh,358752,796316
nicolas-meister,321057,825955
taylor-booth,513963,906024
marcel-tanzmayr,524541,1035126
alan-carius,515639,886093
alexander-schmidt,307939,842499
lukas-grozurek,75829,126224
andreas-leitner,106851,138119
osman-hadzikic,188881,352394
christoph-haas,157390,819755
emanuel-aiwu,394152,924690
niko-datkovic,178056,137379
sebastian-bauer,151739,335565
lukas-rath,67442,37321
pascal-petlach,354063,888861
paul-koller,523895,962270
phoenix-missi,806199,1064872
julian-turi,404940,918406
matthias-ostrzolek,53669,95323
leonardo-lukacevic,321870,843702
milos-spasic,307689,870040
stephan-auer,82527,152337
julian-buchta,346844,865551
morten-hjulmand,461496,859917
lukas-malicsek,354061,825958
wilhelm-vorsager,293015,843166
tomislav-tomic,190272,120143
roman-kerschbaum,120202,245699
marcus-maier,195577,569634
christian-gartner,108391,112040
nicolas-zdichynec,488077,962280
josef-ganda,456929,966529
felix-kekoh,806200,1064873
marco-kadlec,394150,919559
muhammed-cham,422281,958901
onurhan-babuscu,538481,1031187
luca-kronberger,519011,1064303
aleksandar-cirkovic,452218,998446
mamina-badji,821071,1102534
david-atanga,254284,786187
marco-hausjell,354054,870022
dominik-starkl,158214,164095
angelo-gattermayer,523870,1122374
andrew-wooten,67407,39884
maximilian-breunig,584254,935281
erwin-hoffer,25785,5542
stefan-maierhofer,32660,9609
filip-ristanic,601113,1064296
daniel-kalajdzic,510578,1122375
martin-kobras,51719,26212
tino-casali,169271,352398
jakob-odehnal,526353,942775
sebastian-brandner,48029,66238
neven-subotic,40995,16180
philipp-schmiedl,246063,844137
jan-zwischenbrugger,83617,66184
david-bumberger,321850,921159
berkay-dabanli,121528,124373
philipp-netzer,17084,
leonardo-zottele,307884,839634
emir-karic,286596,796032
nosa-iyobosa-edokpolor,276841,842496
manuel-thurnwald,307485,856569
anderson,494830,
samuel-oum-gouet,452238,898405
aljaz-casar,682519,988274
alain-wiss,58165,37371
lars-nussbaumer,407503,886645
marco-meilinger,79607,67864
emanuel-schreiner,59132,37315
manfred-fischer,269093,799456
johannes-tartarotti,307871,842244
mario-stefel,356558,799458
nana-kofi-babil,734819,1049102
csaba-bukta,501196,976574
daniel-maderner,195741,
daniel-nussbaumer,307824,838133
danilo-carando,128477,108462
frantz-pangop,266954,898712
ogulcan-bekar,375358,877975
chinedu-obasi,41663,7316
rene-swete,181454,355526
raphael-sallinger,225360,275801
florian-faist,255287,573952
maximilian-pusswald,782179,
felix-luckeneder,156691,576082
manfred-gollner,89055,101799
matija-horvat,338855,843583
thomas-rotter,119231,66332
michael-huber,72146,134517
christian-klem,58948,37416
jurgen-heil,271223,799651
andreas-lienhart,32394,7646
stefan-golles,307381,
bakary-nimaga,257730,312996
tobias-kainz,69741,
samson-tijani,666613,1002468
sascha-horvath,186365,282093
abdoul-yoda,811856,1065760
florian-flecker,272159,
lukas-gabbichler,341762,887996
rajko-rep,80525,551932
lukas-ried,194770,
julius-ertlthaler,286622,769123
lukas-fadinger,394018,936277
philipp-sturm,307696,873308
michael-john-lema,317450,869480
emmanuel-igbonekwu,826497,1091235
stefan-rakowitz,76422,66313
dario-tadic,50860,35488
seifedin-chabbi,106862,110928
samuel-sahin-radlinger,77563,66340
daniel-edward-daniliuc,354052,913184
lukas-gutlbauer,371430,942888
patrick-moser,602625,1127288
luca-meisl,307641,825951
kennedy-boateng,451317,845884
constantin-reiner,286643,878512
markus-lackner,82536,80034
thomas-reifeltshammer,77612,81343
michael-lercher,186369,282079
manuel-haas,186363,282075
felix-seiwald,394070,914204
patrick-moschl,158110,232398
balakiyem-takougnadi,122132,134638
manuel-kerhe,52369,27146
matthias-gragger,452480,1112757
marcel-ziegl,59152,44616
julian-wiessmeier,93559,129525
daniel-offenbacher,83505,96704
nikola-stosic,321885,926895
arne-ammerer,240653,887400
stefan-nutz,106171,241000
murat-satin,225687,816237
marcel-canadi,223953,
valentin-grubeck,159581,186713
marco-grull,391766,815612
seth-paintsil,372813,
ante-bajic,282918,799710
patrick-schmidt,297590,794967
bernd-gschweidl,167350,336085
canillas,383246,872337
sadam-sulley,437600,1753475
filip-borsos,445038,1033533
markus-pink,78006,50126
kosmas-gezos,191850,215984
fabian-miesenbock,151525,180579
philipp-wippel,55566,1523739
patrick-greil,197043,878510
adam-stejskal,552035,
daniel-antosch,346842,865546
jonas-krumrey,531637,1086085
kilian-schrocker,452479,930557
bryan-okoh,539795,987491
dominik-oroz,353559,
