slug,id,sofascore_id
jakub-goralczyk,697549,1083778
lukasz-ziemnik,697551,1141997
michal-siplak,239957,561722
diego-ferraresso,120104,52005
milan-dimun,291232,552342
sylwester-lusiusz,426297,888950
radoslaw-kanach,396690,949380
mateusz-supryn,453410,962456
florian-loshaj,242040,831407
damir-sadikovic,255972,312098
michal-wisniewski,528325,935288
sergiu-hanca,212806,113743
cornel-rapa,96290,50990
kamil-pestka,384482,883172
patryk-zaucha,393568,999875
michael-gardawski,52791,38461
pelle-van-amersfoort,262613,318585
ivan-fiolic,226070,283855
thiago,687844,
michal-rakoczy,529548,926186
marcin-budzinski,82173,44777
przemyslaw-kapek,697556,1065636
maciej-mrozik,869950,
jakub-myszor,697554,1113778
daniel-pik,528410,923081
jakub-kosecki,100453,72094
rivaldinho,313968,811017
marcos-alvarez,47944,178883
filip-piszczek,325215,792651
tomas-vestenicky,186393,325143
sebastian-strozik,384438,914546
tomasz-bala,579770,1036278
jakub-gut,727114,1063238
martin-chudy,80732,58099
dawid-kudla,266239,336091
jakub-grzesiak,699645,1064676
bartosz-neugebauer,585073,956803
pawel-bochniewicz,248395,286097
przemyslaw-wisniewski,386967,931266
adrian-gryszkiewicz,388944,925948
aleksander-paluszek,605746,989139
stefanos-evangelou,342255,800972
erik-janza,174522,124590
michal-koj,185679,95361
giannis-masouras,295780,369940
roman-prochazka,80690,53974
norbert-wojtuszek,607435,
wojciech-hajda,372695,891291
alasana-manneh,435807,873084
daniel-scislak,479708,987357
filip-bainovic,358909,799159
krzysztof-kubica,573968,940544
dariusz-pawlowski,386956,845123
kacper-michalski,466224,940543
michal-rostkowski,560940,956822
bartlomiej-eizenchart,501635,1007827
bartosz-nowak,261085,316216
lukasz-wolsztynski,356515,845125
jesus-jimenez,510545,900494
richmond-boakye,119213,112016
alex-sobczyk,287191,
piotr-krawczyk,294191,587224
adam-ryczkowski,264297,361624
dominik-hladun,278676,335907
konrad-forenc,121154,72265
kamil-bielikow,401370,971394
lorenco-simic,226093,791203
soren-reese,143101,796569
sasa-balic,64104,57463
kamil-kruk,372696,1032860
dominik-jonczy,385191,
damian-oko,385198,881923
mateusz-bartolewski,425763,955982
milan-posmyk,667544,1121435
lubomir-guldan,50271,57980
jakub-bednarczyk,346328,857915
maciej-warpas,498272,980753
lukasz-poreba,532169,942336
jakub-zubrowski,283012,845028
dawid-pakulski,385199,913963
mateusz-kizyma,626767,1101995
evgeniy-bashkirov,104200,80988
lukasz-lakomy,401598,1001201
daniel-dudzinski,554945,980752
filip-starzynski,199301,174053
adam-ratajczyk,628624,984839
damjan-bohar,174504,
miroslav-stoch,45559,
sasa-zivec,128033,78888
dejan-drazic,291247,363778
jakub-sypek,504601,1035100
patryk-szysz,421710,831930
kacper-chodyna,320733,942334
samuel-mraz,243225,354576
karol-podlinski,492351,874720
rok-sirk,308828,896422
jakub-wojcicki,160367,140662
oliwier-slawinski,618436,1101996
mateusz-lis,345437,798375
michal-buchalik,77002,45017
kamil-broda,531010,941592
milosz-jaskula,805325,1086158
michal-frydrych,119862,68755
uros-radakovic,169511,151900
adi-mehremic,192897,152110
maciej-sadlok,50751,45439
souleymane-kone,178603,
lukas-klemenz,237334,789971
serafin-szota,384524,887580
rafal-janicki,153638,133544
daniel-hoyo-kowalski,553252,981743
kamil-glogowski,703143,1126583
dawid-abramowicz,168427,139210
krystian-wachowiak,583560,
