id,slug,team,height,preferredFoot,marketValue
235502,konstantinos-triantafyllopoulos,gornik-zabrze,186,Right,310000
66285,benedikt-zech,pogon-szczecin,186,Right,195000
163925,jakub-bartkowski,warta-poznan,182,Right,290000
834108,mariusz-malec,pogon-szczecin,189,Left,485000
189123,igor-lasicki,wisla-krakow,184,Right,185000
1005924,bartlomiej-mruk,zks-olimpia-elblag,184,Left,52000
1127757,filip-balcewicz,swit-skolwin-szczecin,185,,24000
318947,luis-mata,zaglebie-lubin,180,Left,315000
548600,david-stec,ks-lechia-gdansk,180,Right,105000
108979,damian-dabrowski,zaglebie-lubin,178,Right,540000
338363,rafal-kurzawa,pogon-szczecin,182,Left,385000
941226,maciej-zurawski,warta-poznan,184,Right,485000
992632,kacper-smolinski,pogon-szczecin,178,Left,280000
138888,tomas-podstawski,no-team,182,Both,270000
941967,stanislaw-wawrzynowicz,kotwica-kolobrzeg,177,Both,24000
1064080,mateusz-legowski,salernitana,181,Right,2800000
,kacper-kozlowski,,,,
576334,hubert-matynia,zaglebie-sosnowiec,181,Both,145000
864926,sebastian-kowalczyk,houston-dynamo,169,Right,1200000
,alexander-gorgon,,,,
232162,luka-zahovic,pogon-szczecin,177,Right,865000
971478,blazej-starzycki,pogon-szczecin-ii,179,,55000
928295,adrian-benedyczak,,,,
831357,santeri-hostikka,,,,
1049444,mariusz-fornalczyk,,,,
307460,pawel-cibicki,no-team,184,Left,48000
95436,michal-kucharczyk,legia-ii-warszawa,178,Right,130000
992633,marcel-wedrychowski,,,,
121410,kamil-drygas,miedz-legnica,184,Right,330000
60872,adam-fraczczak,pogon-szczecin-ii,180,Left,52000
1030327,hubert-turski,,,,
,xavier-dziekonski,,,,
561132,damian-weglarz,chrobry-glogow,187,Right,145000
24980,pavels-steinbors,rfs,191,Right,80000
843318,hubert-gostomski,mlks-wissa-szczuczyn,191,Right,105000
1089083,jakub-jasionek,,,,
,ivan-runje,,,,
135151,bogdan-tiru,warta-poznan,185,Both,265000
20642,blazej-augustyn,no-team,191,Both,240000
307784,bartosz-kwiecien,mks-korona-kielce,186,Right,155000
881276,myroslav-mazur,fk-zalgiris,190,Left,285000
1095659,milosz-matysik,aris-limassol,190,Right,1400000
1067768,jan-majsterek,,,,
126145,bojan-nastic,jagiellonia-bialystok,182,Left,210000
936874,bartlomiej-wdowik,jagiellonia-bialystok,184,Left,3300000
329723,bodvar-bodvarsson,fh-hafnarfjordur,186,Left,210000
988050,godfrey-bitok-stephen,diosgyori-vtk,185,Left,260000
840334,pawel-olszewski,jagiellonia-bialystok,178,Right,155000
293125,andrej-kadlec,mlada-boleslav,177,Right,240000
1089084,szymon-pankiewicz,,,,
578364,taras-romanczuk,jagiellonia-bialystok,186,Left,485000
148659,martin-pospisil,sk-sigma-olomouc,178,Right,360000
44984,ariel-borysiuk,mks-chojniczanka-ii-chojnice,178,Right,145000
,jakub-orpik,,,,
1130952,oliwier-wojciechowski,,,,
897712,fernan-lopez,,,,
313036,konrad-wrzesinski,zaglebie-sosnowiec,177,Right,105000
838916,kris-twardek,,,,
175177,jesus-imaz,jagiellonia-bialystok,174,Right,485000
138395,juan-camara,cf-badalona-futur,183,Left,160000
559970,przemyslaw-mystkowski,gks-tychy,178,Left,195000
175839,dani-quintana,no-team,173,Both,
757884,kamil-wojtkowski,motor-lublin,173,Left,97000
1022397,mateusz-wyjadlowski,podlasie-ii-biala-podlaska,173,Right,26000
1008853,krzysztof-toporkiewicz,,,,
93755,fedor-cernych,kerala-blasters,182,Left,295000
100409,tomas-prikryl,warta-poznan,177,Right,260000
122692,maciej-makuszewski,wigry-suwalki,176,Right,97000
1048685,maciej-bortniczuk,wisla-pulawy,182,,160000
94238,jakov-puljic,puskas-akademia,187,Both,260000
916044,bartosz-bida,,,,
845027,szymon-sobczak,wisla-krakow,181,Right,185000
1101183,jakub-lutostanski,,,,
997654,maciej-twarowski,no-team,188,Both,23000
888440,karol-niemczycki,fortuna-dusseldorf,189,Both,805000
53997,lukas-hrosso,cracovia,195,Both,26000
45381,michal-peskovic,no-team,188,Right,
796953,adam-wilk,,,,
,norbert-luczak,,,,
351726,michal-helik,huddersfield-town,191,Right,2900000
316334,dawid-szymonowicz,warta-poznan,184,Right,380000
834079,matej-rodin,rakow-czestochowa,193,Both,465000
862479,ivan-marquez,1-fc-nurnberg,191,Right,875000
,david-jablonsky,,,,
,oleksiy-dytyatyev,,,,
1121428,krystian-bracik,,,,
1036279,mateusz-pienczak,polonia-sroda-wielkopolska,189,,52000
1095440,jan-ziewiec,,,,
1083778,jakub-goralczyk,mrks-czechowice-dziedzice,188,,26000
1141997,lukasz-ziemnik,no-team,191,,24000
561722,michal-siplak,gornik-zabrze,178,Left,415000
52005,diego-ferraresso,fc-gloria-buzau,171,Right,130000
552342,milan-dimun,dac-1904,186,Right,525000
888950,sylwester-lusiusz,podbeskidzie-bielsko-biala,185,,23000
949380,radoslaw-kanach,resovia-rzeszow,181,Right,205000
962456,mateusz-supryn,rb-keflavik,180,Left,47000
831407,florian-loshaj,istanbulspor,174,Left,595000
312098,damir-sadikovic,fk-napredak-krusevac,188,Right,110000
935288,michal-wisniewski,lks-wislanie-jaskowice,182,Left,52000
113743,sergiu-hanca,fc-petrolul-ploiesti,182,Right,380000
50990,cornel-rapa,cracovia,180,Right,240000
883172,kamil-pestka,,,,
999875,patryk-zaucha,,,,
38461,michael-gardawski,ionikos,178,Right,120000
318585,pelle-van-amersfoort,sc-heerenveen,193,Right,870000
283855,ivan-fiolic,tianjin-jinmen-tiger,175,Left,780000
,thiago,,,,
926186,michal-rakoczy,cracovia,175,,1500000
44777,marcin-budzinski,hutnik-krakow,184,Right,27000
1065636,przemyslaw-kapek,,,,
,maciej-mrozik,,,,
1113778,jakub-myszor,,,,
923081,daniel-pik,radomiak-radom,177,Right,105000
72094,jakub-kosecki,kts-weszlo-warszawa,168,Right,91000
811017,rivaldinho,fcv-farul-constanta,186,Right,745000
178883,marcos-alvarez,kickers-offenbach,179,Right,130000
792651,filip-piszczek,bohemian,188,Right,53000
325143,tomas-vestenicky,no-team,178,Right,54000
914546,sebastian-strozik,stal-stalowa-wola,179,Right,48000
1036278,tomasz-bala,,,,
1063238,jakub-gut,,,,
58099,martin-chudy,mzks-arka-gdynia,187,Right,110000
336091,dawid-kudla,gks-katowice,189,Right,270000
1064676,jakub-grzesiak,flint-city-bucks,194,Right,24000
956803,bartosz-neugebauer,gornik-zabrze-ii,188,Right,105000
286097,pawel-bochniewicz,sc-heerenveen,194,Left,3200000
931266,przemyslaw-wisniewski,spezia,195,Right,2000000
925948,adrian-gryszkiewicz,rakow-czestochowa,185,Left,380000
989139,aleksander-paluszek,slask-wroclaw,191,Right,515000
800972,stefanos-evangelou,zalaegerszegi-te,185,Right,235000
124590,erik-janza,gornik-zabrze,174,Left,745000
95361,michal-koj,puszcza-niepolomice,188,Left,190000
369940,giannis-masouras,astana,181,Right,435000
53974,roman-prochazka,fc-spartak-trnava,178,Right,320000
,norbert-wojtuszek,,,,
891291,wojciech-hajda,puszcza-niepolomice,182,Right,380000
873084,alasana-manneh,,,,
987357,daniel-scislak,polonia-bytom,177,Right,47000
799159,filip-bainovic,fc-spartak-trnava,179,Both,410000
940544,krzysztof-kubica,benevento,193,Both,680000
845123,dariusz-pawlowski,polonia-warszawa,187,Right,145000
940543,kacper-michalski,ruch-chorzow,187,Right,330000
956822,michal-rostkowski,no-team,175,Left,23000
1007827,bartlomiej-eizenchart,resovia-rzeszow,182,Left,155000
316216,bartosz-nowak,rakow-czestochowa,180,Right,720000
845125,lukasz-wolsztynski,stal-mielec,183,Right,48000
900494,jesus-jimenez,ofi-crete,180,Right,1200000
112016,richmond-boakye,no-team,185,Right,355000
,alex-sobczyk,,,,
587224,piotr-krawczyk,gornik-zabrze,187,Right,315000
361624,adam-ryczkowski,legia-ii-warszawa,178,Right,27000
335907,dominik-hladun,legia-warszawa,190,Right,620000
72265,konrad-forenc,mks-korona-kielce,191,Right,210000
971394,kamil-bielikow,,,,
791203,lorenco-simic,maccabi-haifa,195,Right,775000
796569,soren-reese,ac-horsens,180,Left,285000
57463,sasa-balic,fk-decic-tuzi,184,Left,160000
1032860,kamil-kruk,,,,
,dominik-jonczy,,,,
881923,damian-oko,,,,
955982,mateusz-bartolewski,ruch-chorzow,187,Left,465000
1121435,milan-posmyk,,,,
57980,lubomir-guldan,,,,
857915,jakub-bednarczyk,gornik-leczna,184,Right,26000
980753,maciej-warpas,,,,
942336,lukasz-poreba,hamburger-sv,179,Right,1500000
845028,jakub-zubrowski,kotwica-kolobrzeg,179,Right,110000
913963,dawid-pakulski,,,,
1101995,mateusz-kizyma,,,,
80988,evgeniy-bashkirov,,,,
1001201,lukasz-lakomy,young-boys,181,Left,2300000
980752,daniel-dudzinski,zaglebie-lubin,181,,180000
174053,filip-starzynski,ruch-chorzow,184,Right,240000
984839,adam-ratajczyk,zaglebie-lubin-ii,176,Right,220000
,damjan-bohar,,,,
,miroslav-stoch,,,,
78888,sasa-zivec,wieczysta-krakow,174,Both,190000
363778,dejan-drazic,ethnikos-achnas,178,Right,340000
1035100,jakub-sypek,,,,
831930,patryk-szysz,basaksehir-fk,177,Left,910000
942334,kacper-chodyna,zaglebie-lubin,176,Right,835000
354576,samuel-mraz,motor-lublin,183,Right,485000
874720,karol-podlinski,gornik-ii-leczna-sa,194,Right,140000
896422,rok-sirk,kalsdorf,184,Right,105000
140662,jakub-wojcicki,znicz-pruszkow,190,Right,47000
1101996,oliwier-slawinski,lks-lodz,184,Right,46000
798375,mateusz-lis,goztepe,192,Right,1200000
45017,michal-buchalik,ruch-chorzow,190,Right,155000
941592,kamil-broda,wisla-krakow,190,Right,54000
1086158,milosz-jaskula,,,,
68755,michal-frydrych,banik-ostrava,187,Right,210000
151900,uros-radakovic,mke-ankaragucu,194,Right,1300000
152110,adi-mehremic,sebail-fk,188,Left,145000
45439,maciej-sadlok,ruch-chorzow,186,Left,145000
,souleymane-kone,,,,
789971,lukas-klemenz,,,,
887580,serafin-szota,widzew-lodz,186,Right,465000
