sofascore_id,transfermarkt_id,tournament_id,season_id,rating
963044,514918,65,52684,6.9
963044,514918,65,52684,7.1
963044,514918,65,52684,7.4
963044,514918,65,52684,6.7
963044,514918,65,52684,6.8
963044,514918,65,52684,6.9
963044,514918,65,52684,7.1
963044,514918,65,52684,7.4
963044,514918,65,52684,6.7
963044,514918,65,52684,6.8
963044,514918,65,52684,6.9
963044,514918,65,52684,7.1
963044,514918,65,52684,7.4
963044,514918,65,52684,6.7
963044,514918,65,52684,6.8
963044,514918,65,52684,6.9
963044,514918,65,52684,7.1
963044,514918,65,52684,7.4
963044,514918,65,52684,6.7
963044,514918,65,52684,6.8
963044,514918,65,52684,6.9
963044,514918,65,52684,7.1
963044,514918,65,52684,7.4
963044,514918,65,52684,6.7
963044,514918,65,52684,6.8
963044,514918,65,52684,6.9
963044,514918,65,52684,7.1
963044,514918,65,52684,7.4
963044,514918,65,52684,6.7
963044,514918,65,52684,6.8
963044,514918,65,52684,6.9
963044,514918,65,52684,7.1
963044,514918,65,52684,7.4
963044,514918,65,52684,6.7
963044,514918,65,52684,6.8
963044,514918,65,52684,6.9
963044,514918,65,52684,7.1
963044,514918,65,52684,7.4
963044,514918,65,52684,6.7
963044,514918,65,52684,6.8
963044,514918,65,52684,6.9
963044,514918,65,52684,7.1
963044,514918,65,52684,7.4
963044,514918,65,52684,6.7
963044,514918,65,52684,6.8
1092409,564529,17,41886,5.9
1092409,564529,17,41886,
1092409,564529,17,41886,5.8
1092409,564529,17,41886,7.2
1092409,564529,17,41886,6.4
1092409,564529,17,41886,5.9
1092409,564529,17,41886,
1092409,564529,17,41886,5.8
1092409,564529,17,41886,7.2
1092409,564529,17,41886,6.4
1092409,564529,27,46599,7.1
1092409,564529,27,46599,7.2
1092409,564529,27,46599,6.5
1092409,564529,27,46599,6.7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,27,46599,7.1
1092409,564529,27,46599,7.2
1092409,564529,27,46599,6.5
1092409,564529,27,46599,6.7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,328,53505,8.2
1092409,564529,328,53505,7.4
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,27,46599,7.1
1092409,564529,27,46599,7.2
1092409,564529,27,46599,6.5
1092409,564529,27,46599,6.7
1092409,564529,27,46599,7.1
1092409,564529,27,46599,7.2
1092409,564529,27,46599,6.5
1092409,564529,27,46599,6.7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,328,53505,8.2
1092409,564529,328,53505,7.4
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
1092409,564529,23,52760,7
1092409,564529,23,52760,6.5
1092409,564529,23,52760,7.1
1092409,564529,23,52760,6.2
1092409,564529,23,52760,7
826057,391005,17,41886,
826057,391005,17,41886,6.6
826057,391005,17,41886,6.8
826057,391005,17,41886,6.6
826057,391005,17,41886,6.8
826057,391005,17,41886,
826057,391005,17,41886,6.6
826057,391005,17,41886,6.8
826057,391005,17,41886,6.6
826057,391005,17,41886,6.8
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,21,52393,6.8
826057,391005,21,52393,7.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,21,52393,6.8
826057,391005,21,52393,7.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
826057,391005,17,52186,6.9
826057,391005,17,52186,7
826057,391005,17,52186,6.1
826057,391005,17,52186,7.3
826057,391005,17,52186,6.3
